DATE,PRCP_happycamp,TMAX_happycamp,TMIN_happycamp,TOBS_happycamp,PRCP_orleans,PRCP_salmonriver,PRCP_cavejunction,discharge_IndianCreek,gage_ht_IndianCreek,discharge_IndianCreek_daily_change,discharge_SalmonRiver,gage_ht_SalmonRiver,discharge_SalmonRiver_daily_change,discharge_SuckerCreek,gage_ht_SuckerCreek,discharge_SuckerCreek_daily_change,year,month,day
2015-03-25,,,,,,3.6,,582.2916666666666,5.616875,-256.14583333333337,13580.208333333334,,-760.4166666666661,308.0,2.1646875,-70.70833333333331,2015,03,25
2015-03-26,,,,,,0.0,,461.8541666666667,5.355833333333333,-120.43749999999994,12781.25,,-798.9583333333339,267.0625,2.0601041666666666,-40.9375,2015,03,26
2015-03-27,0.0,84.0,36.0,47.0,,0.0,,402.3645833333333,5.201041666666667,-59.48958333333337,12483.333333333334,,-297.91666666666606,244.67708333333334,1.9996875,-22.385416666666657,2015,03,27
2015-03-28,,,,,,0.0,,343.0,5.03375,-59.364583333333314,13270.833333333334,,787.5,215.80208333333334,1.9158333333333333,-28.875,2015,03,28
2015-03-29,,,,,,0.0,,302.5104166666667,4.907916666666667,-40.489583333333314,14611.458333333334,,1340.625,191.125,1.8495833333333334,-24.677083333333343,2015,03,29
2015-03-30,0.0,,,37.0,,,,278.7604166666667,4.828333333333333,-23.75,15257.291666666666,,645.8333333333321,173.40625,1.8111458333333335,-17.71875,2015,03,30
2015-03-31,0.0,81.0,37.0,46.0,,2.3,,263.6875,4.778958333333333,-15.072916666666686,16070.833333333334,,813.5416666666679,170.51041666666666,1.804166666666667,-2.895833333333343,2015,03,31
2015-04-01,0.03,64.0,27.0,28.0,,0.3,,251.9375,4.733229166666667,-11.75,16992.708333333332,,921.8749999999982,159.78125,1.7733333333333334,-10.729166666666657,2015,04,01
2015-04-02,0.0,66.0,27.0,28.0,,0.0,,238.46875,4.684895833333333,-13.46875,17253.125,,260.4166666666679,148.95833333333334,1.7408333333333335,-10.822916666666657,2015,04,02
2015-04-03,,,,,,0.0,,225.03125,4.635729166666667,-13.4375,16429.166666666668,,-823.9583333333321,139.65625,1.7121875,-9.302083333333343,2015,04,03
2015-04-04,,,,,,0.5,,218.01041666666666,4.603645833333333,-7.020833333333343,15344.791666666666,,-1084.3750000000018,136.90625,1.7030208333333334,-2.75,2015,04,04
2015-04-05,,,,,,1.0,,218.875,4.610104166666667,0.8645833333333428,14517.708333333334,,-827.0833333333321,137.53125,1.7051041666666666,0.625,2015,04,05
2015-04-06,,,,,,9.1,,219.78125,4.6153125,0.90625,13858.333333333334,,-659.375,136.86458333333334,1.7028125,-0.6666666666666572,2015,04,06
2015-04-07,0.88,65.0,28.0,33.0,,9.7,,250.76041666666666,4.738854166666667,30.979166666666657,13155.208333333334,,-703.125,146.19791666666666,1.7327083333333333,9.333333333333314,2015,04,07
2015-04-08,0.13,54.0,33.0,35.0,,2.3,,234.33333333333334,4.6784375,-16.427083333333314,12432.291666666666,,-722.9166666666679,143.09375,1.7231249999999998,-3.104166666666657,2015,04,08
2015-04-09,0.0,64.0,32.0,33.0,,0.0,,229.47916666666666,4.660416666666667,-4.854166666666686,11876.041666666666,,-556.25,141.28125,1.7176041666666666,-1.8125,2015,04,09
2015-04-10,0.0,72.0,31.0,32.0,,0.0,,234.70833333333334,4.680833333333333,5.229166666666686,11458.333333333334,,-417.7083333333321,139.34375,1.71375,-1.9375,2015,04,10
2015-04-11,,,,,,0.8,,262.4166666666667,4.77875,27.708333333333343,11213.541666666666,,-244.79166666666788,147.39583333333334,1.7455208333333332,8.052083333333343,2015,04,11
2015-04-12,,,,,,1.8,,287.5625,4.865208333333333,25.145833333333314,11179.166666666666,,-34.375,150.47916666666666,1.7555208333333334,3.0833333333333144,2015,04,12
2015-04-13,0.0,,,34.0,,0.0,,278.78125,4.8359375,-8.78125,10837.5,,-341.66666666666606,144.6875,1.7383333333333333,-5.791666666666657,2015,04,13
2015-04-14,0.16,69.0,31.0,32.0,,5.1,,277.25,4.8308333333333335,-1.53125,10732.291666666666,,-105.20833333333394,148.01041666666666,1.7482291666666667,3.322916666666657,2015,04,14
2015-04-15,0.0,62.0,27.0,28.0,,0.0,,257.7395833333333,4.764166666666667,-19.510416666666686,10782.291666666666,,50.0,142.69791666666666,1.7319791666666668,-5.3125,2015,04,15
2015-04-16,0.0,73.0,28.0,34.0,,0.0,,247.44791666666666,4.7265625,-10.291666666666657,10511.458333333334,,-270.8333333333321,138.26041666666666,1.7175,-4.4375,2015,04,16
